	feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
108	5541	8	Amino acids and Peptides|Shikimates and Phenylpropanoids	0.1595744680851064	Small peptides	0.1702127659574468	Aminoacids	0.11702127659574468	1.0	0.6771647	ISDB	MYWGORCHPZQEOA-QQCJEOGWSA-N	InChI=1S/C20H27NO4/c1-9(2)17(21)20(23)24-15-8-14-10(3)6-7-13-11(4)19(22)25-18(13)16(14)12(15)5/h9,13-18H,3-8,21H2,1-2H3/t13-,14-,15-,16-,17-,18-/m0/s1	C=C1C(=O)O[C@H]2[C@H]1CCC(=C)[C@@H]1C[C@H](OC(=O)[C@@H](N)C(C)C)C(=C)[C@H]21	C20H27NO4		345.194008344	MYWGORCHPZQEOA	Terpenoids	Sesquiterpenoids	Guaiane sesquiterpenoids	Fitchia speciosa	454661.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Coreopsideae']	['Fitchia']	['Fitchia speciosa']		['Eukaryota']									1	0	1.6771646738052368	1
111	5520	27	Amino acids and Peptides|Shikimates and Phenylpropanoids	0.3333333333333333	Small peptides	0.3333333333333333	Aminoacids|Dipeptides	0.3333333333333333	1.0	0.5397233	ISDB	BQVUABVGYYSDCJ-ZFWWWQNUSA-N	InChI=1S/C17H23N3O3/c1-10(2)7-13(18)16(21)20-15(17(22)23)8-11-9-19-14-6-4-3-5-12(11)14/h3-6,9-10,13,15,19H,7-8,18H2,1-2H3,(H,20,21)(H,22,23)/t13-,15-/m0/s1	CC(C)C[C@H](N)C(O)=N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O	C17H23N3O3		317.173941596	BQVUABVGYYSDCJ	Amino acids and Peptides|Shikimates and Phenylpropanoids	Small peptides	Aminoacids|Dipeptides	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']		['Eukaryota']									1	3	4.53972327709198	1
112	5511	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	1.0	0.0	MS1_match	PUPRMDZKLKQJOS-UHFFFAOYSA-N	InChI=1S/C15H29N/c1-3-5-7-10-14-12-9-13-15(16-14)11-8-6-4-2/h3,14-16H,1,4-13H2,2H3	C=CCCCC1CCCC(CCCCC)N1	C15H29N	pos_1_1proton	223.229999928	PUPRMDZKLKQJOS	Alkaloids	Lysine alkaloids	Piperidine alkaloids	Monomorium delagoense	3257595.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Solenopsidini']	['Monomorium']	['Monomorium delagoense']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	3	9.0	1
114	5481	13	Alkaloids	0.09375	Small peptides	0.09375	Aminoacids	0.0625	1.0	0.43573618	ISDB	BUAMVCSJOZBROF-QHCPKHFHSA-N	InChI=1S/C23H28N4O3/c1-24-12-11-23(30)16-6-4-5-7-18(16)27(22(23)29)21-19(28)9-8-17-20(21)15(14-25-17)10-13-26(2)3/h4-9,14,24-25,28,30H,10-13H2,1-3H3/t23-/m0/s1	CNCC[C@@]1(O)C(=O)N(c2c(O)ccc3[nH]cc(CCN(C)C)c23)c2ccccc21	C23H28N4O3		408.216140756	BUAMVCSJOZBROF	Alkaloids	Tryptophan alkaloids	Simple indole alkaloids	Arundo donax	659304.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Poales']	['Poaceae']	['Arundineae']	['Arundo']	['Arundo donax']		['Eukaryota']									1	1	2.4357361793518066	1
115	5476	251	Polyketides	0.5	Linear polyketides	0.5	Open-chain polyketides	0.5	1.0	0.0	MS1_match	GCBOFAMJKLBCMW-UHFFFAOYSA-N	InChI=1S/C40H70O14/c1-11-20(2)12-21(3)13-26(8)38(54-40-37(50)36(49)35(48)31(18-42)53-40)27(9)15-24(6)32(45)22(4)14-23(5)33(46)25(7)16-28(10)39(51)52-19-30(44)34(47)29(43)17-41/h13-16,20-22,25,27,29-38,40-50H,11-12,17-19H2,1-10H3	CCC(C)CC(C)C=C(C)C(OC1OC(CO)C(O)C(O)C1O)C(C)C=C(C)C(O)C(C)C=C(C)C(O)C(C)C=C(C)C(=O)OCC(O)C(O)C(O)CO	C40H70O14	pos_3_3proton	774.47655692	GCBOFAMJKLBCMW	Polyketides	Linear polyketides	Open-chain polyketides	Apterostigma dentigerum	1048276.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Attini']	['Apterostigma']	['Apterostigma dentigerum']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	3	9.0	1
116	5471	5	Terpenoids	0.5	Steroids	0.5	Cholane steroids	0.5	6.0	0.65378636	ISDB	WCFIGQHNBJXROP-IHMUCKAYSA-N	InChI=1S/C24H36O3/c1-15(4-9-22(26)27)19-7-8-20-18-6-5-16-14-17(25)10-12-23(16,2)21(18)11-13-24(19,20)3/h14-15,18-21H,4-13H2,1-3H3,(H,26,27)/t15-,18+,19-,20+,21+,23+,24-/m1/s1	C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C	C24H36O3		372.266445012	WCFIGQHNBJXROP	Terpenoids	Steroids	Cholane steroids	Eleutherobia	1050394.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Alcyoniidae']	['Unknown']	['Eleutherobia']	['Unknown']		['Eukaryota']	['Metazoa']								2	3	5.653786361217499	1
118	5456	8	Amino acids and Peptides|Shikimates and Phenylpropanoids	0.1595744680851064	Small peptides	0.1702127659574468	Aminoacids	0.11702127659574468	1.0	0.8675298	ISDB	OUYCCCASQSFEME-MRVPVSSYSA-N	InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m1/s1	N[C@H](Cc1ccc(O)cc1)C(=O)O	C9H11NO3		181.073893212	OUYCCCASQSFEME	Amino acids and Peptides|Shikimates and Phenylpropanoids	Small peptides	Aminoacids	Apis cerana	625771.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Apidae']	['Apini']	['Apis']	['Apis cerana']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']					5	3	8.867529809474945	1
119	5447	13	Alkaloids	0.09375	Small peptides	0.09375	Aminoacids	0.0625	1.0	0.52497977	ISDB	VGGGPCQERPFHOB-RDBSUJKOSA-N	InChI=1S/C16H24N2O4/c1-10(2)8-13(16(21)22)18-15(20)14(19)12(17)9-11-6-4-3-5-7-11/h3-7,10,12-14,19H,8-9,17H2,1-2H3,(H,18,20)(H,21,22)/t12-,13+,14+/m1/s1	CC(C)C[C@H](N=C(O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)O	C16H24N2O4		308.173607248	VGGGPCQERPFHOB				Streptomyces abikoensis	278149.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Streptomyces abikoensis']											0	0	0.5249797701835632	1
123	5430	97	Amino acids and Peptides|Shikimates and Phenylpropanoids	1.0	Small peptides	1.0	Aminoacids	1.0	2.0	0.64652014	ISDB	LDCYZAJDBXYCGN-VIFPVBQESA-N	InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)/t9-/m0/s1	N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O	C11H12N2O3		220.084792244	LDCYZAJDBXYCGN	Amino acids and Peptides|Shikimates and Phenylpropanoids	Small peptides	Aminoacids	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']								2	3	5.646520137786865	1
124	5427	-1							1.0	0.40273786	ISDB	ICYRCNICGBJLGM-HJGDQZAQSA-N	InChI=1S/C14H25N3O7/c1-6(2)4-8(15)12(21)17-11(7(3)18)13(22)16-9(14(23)24)5-10(19)20/h6-9,11,18H,4-5,15H2,1-3H3,(H,16,22)(H,17,21)(H,19,20)(H,23,24)/t7-,8+,9+,11+/m1/s1	CC(C)C[C@H](N)C(O)=N[C@H](C(O)=N[C@@H](CC(=O)O)C(=O)O)[C@@H](C)O	C14H25N3O7		347.16925014	ICYRCNICGBJLGM	Amino acids and Peptides|Shikimates and Phenylpropanoids	Small peptides	Aminoacids	Trypanosoma brucei	494245.0	['Eukaryota']	['Unknown']	['Unknown']	['Unknown']	['Kinetoplastea']	['Unknown']	['Unknown']	['Trypanosoma']	['Trypanosoma brucei']		['Eukaryota']									1	0	1.4027378559112549	1
125	5425	-1							1.0	0.38014498	ISDB							MALNXHYEPCSPPU						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.38014498353004456	1
126	5405	13	Alkaloids	0.09375	Small peptides	0.09375	Aminoacids	0.0625	1.0	0.4259201	ISDB	SRXKAYJJGAAOBP-LURJTMIESA-N	InChI=1S/C7H14N2O3/c1-5(10)9-4-2-3-6(8)7(11)12/h6H,2-4,8H2,1H3,(H,9,10)(H,11,12)/t6-/m0/s1	CC(O)=NCCC[C@H](N)C(=O)O	C7H14N2O3		174.100442308	SRXKAYJJGAAOBP	Amino acids and Peptides|Shikimates and Phenylpropanoids	Small peptides	Aminoacids	Drosophila melanogaster	505714.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Diptera']	['Drosophilidae']	['Drosophilini']	['Drosophila']	['Drosophila melanogaster']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	3	7.425920099020004	1
127	5403	235	Amino acids and Peptides	1.0	Small peptides	1.0	Dipeptides	1.0	1.0	0.56344646	ISDB	SNEIUMQYRCDYCH-LURJTMIESA-N	InChI=1S/C8H16N4O3/c1-5(13)12-6(7(14)15)3-2-4-11-8(9)10/h6H,2-4H2,1H3,(H,12,13)(H,14,15)(H4,9,10,11)/t6-/m0/s1	CC(=O)N[C@@H](CCCN=C(N)N)C(=O)O	C8H16N4O3		216.122240372	SNEIUMQYRCDYCH	Amino acids and Peptides	Small peptides	Dipeptides	Drosophila melanogaster	505714.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Diptera']	['Drosophilidae']	['Drosophilini']	['Drosophila']	['Drosophila melanogaster']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	3	7.563446462154388	1
128	4521	-1							1.0	0.37297738	ISDB	YVDHKEZQOSFSPC-QCQGSNGOSA-N	InChI=1S/C20H35N5O8/c1-9(2)7-13(20(32)33)24-19(31)16(10(3)4)25-18(30)12(8-15(27)28)23-17(29)11(21)5-6-14(22)26/h9-13,16H,5-8,21H2,1-4H3,(H2,22,26)(H,23,29)(H,24,31)(H,25,30)(H,27,28)(H,32,33)/t11-,12-,13-,16-/m0/s1	CC(C)C[C@H](N=C(O)[C@@H](N=C(O)[C@H](CC(=O)O)N=C(O)[C@@H](N)CCC(=N)O)C(C)C)C(=O)O	C20H35N5O8		473.24856308	YVDHKEZQOSFSPC				Ganoderma lucidum	60045.0	['Eukaryota']	['Fungi']	['Basidiomycota']	['Agaricomycetes']	['Polyporales']	['Ganodermataceae']	['Unknown']	['Ganoderma']	['Ganoderma lucidum']		['Eukaryota']									1	0	1.372977375984192	1
129	4497	-1							1.0	0.4572924	ISDB							CIDXXAOVWPIULW						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.4572924077510834	1
133	4403	-1							1.0	0.32313886	ISDB	PMQKDUOLNIZGFG-PKHIMPSTSA-N	InChI=1S/C18H32O3/c1-8-18(7,19)13-9-10-14(2)11-12-15-16(3,4)21-17(5,6)20-15/h8,10,15,19H,1,9,11-13H2,2-7H3/t15?,18-/m0/s1	C=C[C@](C)(O)CCC=C(C)CCC1OC(C)(C)OC1(C)C	C18H32O3		296.235144884	PMQKDUOLNIZGFG	Terpenoids	Monoterpenoids	Acyclic monoterpenoids	Xylaria	44251.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Sordariomycetes']	['Xylariales']	['Xylariaceae']	['Unknown']	['Xylaria']	['Unknown']		['Eukaryota']									1	0	1.3231388628482819	1
136	4235	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	10.0	0.5626931	ISDB	JVPLVXRNWLOHML-UHFFFAOYSA-N	InChI=1S/C19H30O2/c20-19(21)17-13-8-6-4-2-1-3-5-7-10-14-18-15-11-9-12-16-18/h9,11-12,15-16H,1-8,10,13-14,17H2,(H,20,21)	O=C(O)CCCCCCCCCCCCc1ccccc1	C19H30O2		290.2245802	JVPLVXRNWLOHML	Fatty acids	Fatty Acids and Conjugates	Carbocyclic fatty acids	Colocasia	289024.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Lepidoptera']	['Noctuidae']	['Unknown']	['Colocasia']	['Unknown']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	2	6.562693119049072	1
137	4173	-1							2.0	0.32889006	ISDB	VNNHJRDFAKPJHC-UHFFFAOYSA-N	InChI=1S/C22H32O8/c1-10-4-16(27-11(2)23)22-14(7-13(28-19(22)25)8-21(22)9-26-21)20(10,3)15-5-12-6-17(24)30-18(12)29-15/h10,12-19,24-25H,4-9H2,1-3H3	CC(=O)OC1CC(C)C(C)(C2CC3CC(O)OC3O2)C2CC3CC4(CO4)C12C(O)O3	C22H32O8		424.209717984	VNNHJRDFAKPJHC	Terpenoids	Diterpenoids	Colensane and Clerodane diterpenoids	Scutellaria discolor	5793077.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Lamiales']	['Lamiaceae']	['Unknown']	['Scutellaria']	['Scutellaria discolor']		['Eukaryota']									1	0	1.3288900554180145	1
141	4168	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	1.0	0.53673786	ISDB	LTUMRKDLVGQMJU-IUBLYSDUSA-N	InChI=1S/C18H30O/c1-15(2)9-6-10-16(3)11-7-12-17(4)13-8-14-18(5)19/h9,11,13H,6-8,10,12,14H2,1-5H3/b16-11+,17-13+	CC(=O)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C	C18H30O		262.22966558	LTUMRKDLVGQMJU	Fatty acids	Fatty acyls	Fatty aldehydes|Hydrocarbons	Tilia platyphyllos	1067735.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malvales']	['Malvaceae']	['Unknown']	['Tilia']	['Tilia platyphyllos']		['Eukaryota']									1	1	2.536737859249115	1
158	4158	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	16.0	0.31822804	ISDB	DTOSIQBPPRVQHS-UHFFFAOYSA-N	InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)	CCC=CCC=CCC=CCCCCCCCC(=O)O	C18H30O2		278.2245802	DTOSIQBPPRVQHS	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	Oecophylla smaragdina	1083670.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Oecophyllini']	['Oecophylla']	['Oecophylla smaragdina']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	3	9.318228036165237	1
159	4146	-1							40.0	0.34486642	ISDB	CZRJNVJQSPMQTQ-KBGGHHLCSA-N	InChI=1S/C16H26O3/c1-5-16(4)14(19-16)10-9-12(2)7-6-8-13(3)11-15(17)18/h7,11,14H,5-6,8-10H2,1-4H3,(H,17,18)/b12-7+,13-11+/t14-,16-/m0/s1	CC[C@]1(C)O[C@H]1CC/C(C)=C/CC/C(C)=C/C(=O)O	C16H26O3		266.188194692	CZRJNVJQSPMQTQ	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids|Epoxy fatty acids	Leucania loreyi	6725.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Lepidoptera']	['Noctuidae']	['Unknown']	['Mythimna']	['Mythimna loreyi']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']						4	0	4.3448664247989655	1
160	4026	-1							6.0	0.52695215	ISDB	OQEPDPMGQCDEFJ-RQZMLCOOSA-N	InChI=1S/C29H44O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h7,10-11,18-20,24-27H,8-9,12-17H2,1-6H3/t20-,24+,25-,26+,27+,28+,29-/m1/s1	CC=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C	C29H44O		408.339216028	OQEPDPMGQCDEFJ	Terpenoids	Steroids	Stigmastane steroids	Amphilectus fucorum	303935.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Poecilosclerida']	['Esperiopsidae']	['Unknown']	['Amphilectus']	['Amphilectus fucorum']		['Eukaryota']	['Metazoa']								2	0	2.5269521474838257	1
161	4003	-1							3.0	0.3141599	ISDB	XPHNFQXXNWDWHE-UHFFFAOYSA-N	InChI=1S/C16H30O/c1-7-8-12(2)9-13(3)10-14(4)11-15(5)16(6)17/h11-14H,7-10H2,1-6H3	CCCC(C)CC(C)CC(C)C=C(C)C(C)=O	C16H30O		238.22966558	XPHNFQXXNWDWHE	Polyketides	Linear polyketides	Open-chain polyketides	Siphonaria pectinata	255562.0	['Eukaryota']	['Metazoa']	['Mollusca']	['Gastropoda']	['Unknown']	['Siphonariidae']	['Unknown']	['Siphonaria']	['Siphonaria pectinata']		['Eukaryota']	['Metazoa']								2	0	2.3141598999500275	1
166	3943	29	Fatty acids	0.5151515151515151	Fatty acyls	0.36363636363636365	Piperidine alkaloids	0.24242424242424243	2.0	0.0	MS1_match	DXVYLFHTJZWTRF-UHFFFAOYSA-N	InChI=1S/C7H14O/c1-4-7(8)5-6(2)3/h6H,4-5H2,1-3H3	CCC(=O)CC(C)C	C7H14O	pos_2MHCH3CN	114.104465068	DXVYLFHTJZWTRF	Fatty acids	Fatty acyls	Oxygenated hydrocarbons	Pogonomyrmex rugosus	1042743.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Pogonomyrmecini']	['Pogonomyrmex']	['Pogonomyrmex rugosus']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	2	8.0	1
173	3887	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	4.0	0.35737905	ISDB	RITHLQKJQSKUAO-QZTJIDSGSA-N	InChI=1S/C19H38O4/c1-3-4-5-6-8-11-14-17(20)18(21)15-12-9-7-10-13-16-19(22)23-2/h17-18,20-21H,3-16H2,1-2H3/t17-,18-/m1/s1	CCCCCCCC[C@@H](O)[C@H](O)CCCCCCCC(=O)OC	C19H38O4		330.277009696	RITHLQKJQSKUAO	Fatty acids	Fatty Acids and Conjugates	Hydroxy fatty acids	Lycopodium complanatum	864258.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Lycopodiopsida']	['Lycopodiales']	['Lycopodiaceae']	['Unknown']	['Diphasiastrum']	['Diphasiastrum complanatum']		['Eukaryota']									1	2	3.357379049062729	1
175	3831	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	1.0	0.0	MS1_match	WWZKQHOCKIZLMA-UHFFFAOYSA-N	InChI=1S/C8H16O2/c1-2-3-4-5-6-7-8(9)10/h2-7H2,1H3,(H,9,10)	CCCCCCCC(=O)O	C8H16O2	pos_2MH	144.115029752	WWZKQHOCKIZLMA	Fatty acids	Fatty Acids and Conjugates	Branched fatty acids|Unsaturated fatty acids	Oecophylla smaragdina	1083670.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']	['Oecophyllini']	['Oecophylla']	['Oecophylla smaragdina']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Formicidae']				6	2	8.0	1
176	3819	14	Fatty acids	0.4177215189873418	Fatty Acids and Conjugates	0.25316455696202533	Unsaturated fatty acids	0.16455696202531644	19.0	0.6793757	ISDB	WYJKGKPQXWDIQP-XFPKCUBTSA-N	InChI=1S/C21H32O2/c1-7-15(2)9-11-17-16(3)10-12-18-20(17,4)13-8-14-21(18,5)19(22)23-6/h7,9,17-18H,1,3,8,10-14H2,2,4-6H3/b15-9+/t17-,18-,20-,21+/m1/s1	C=C/C(C)=C/C[C@@H]1C(=C)CC[C@H]2[C@@](C)(C(=O)OC)CCC[C@]12C	C21H32O2		316.240230264	WYJKGKPQXWDIQP	Terpenoids	Diterpenoids	Labdane diterpenoids|Norlabdane diterpenoids	Apis mellifera	461645.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']	['Apidae']	['Apini']	['Apis']	['Apis mellifera']		['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Hymenoptera']					5	0	5.67937570810318	1
178	3753	68	Terpenoids	0.6666666666666666	Cyclic polyketides	0.6666666666666666	Prenyl quinone meroterpenoids	0.3333333333333333	10.0	0.6804993	ISDB	LLFLYROJZGWUAK-KPKJPENVSA-N	InChI=1S/C17H24O4/c1-12(6-5-9-17(2,3)20)7-8-13-10-14(18)11-15(21-4)16(13)19/h7,10-11,20H,5-6,8-9H2,1-4H3/b12-7+	COC1=CC(=O)C=C(C/C=C(\C)CCCC(C)(C)O)C1=O	C17H24O4		292.167459248	LLFLYROJZGWUAK	Terpenoids	Meroterpenoids	Prenyl quinone meroterpenoids	Aplidium	372946.0	['Eukaryota']	['Metazoa']	['Chordata']	['Ascidiacea']	['Enterogona']	['Polyclinidae']	['Unknown']	['Aplidium']	['Unknown']		['Eukaryota']	['Metazoa']								2	3	5.680499315261841	1
181	3663	-1							3.0	0.34922713	ISDB	DNWGDOYQDCNQQI-GUNASTJBSA-N	InChI=1S/C28H46O3/c1-17(2)18(3)6-7-19(4)22-8-9-23-21-14-25-28(30)15-20(29)10-13-27(28,16-31-25)24(21)11-12-26(22,23)5/h17,19-25,29-30H,3,6-16H2,1-2,4-5H3/t19-,20+,21+,22-,23+,24+,25-,26-,27+,28+/m1/s1	C=C(CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3C[C@H]4OC[C@@]5(CC[C@H](O)C[C@]45O)[C@H]3CC[C@@]21C)C(C)C	C28H46O3		430.344695332	DNWGDOYQDCNQQI	Terpenoids	Steroids	Cholestane steroids|Ergostane steroids	Nephthea erecta	927869.0	['Eukaryota']	['Metazoa']	['Cnidaria']	['Anthozoa']	['Alcyonacea']	['Nephtheidae']	['Unknown']	['Litophyton']	['Nephthea erecta']		['Eukaryota']	['Metazoa']								2	0	2.3492271304130554	1
183	3599	97	Amino acids and Peptides|Shikimates and Phenylpropanoids	1.0	Small peptides	1.0	Aminoacids	1.0	2.0	0.73152375	ISDB	LDCYZAJDBXYCGN-VIFPVBQESA-N	InChI=1S/C11H12N2O3/c12-9(11(15)16)3-6-5-13-10-2-1-7(14)4-8(6)10/h1-2,4-5,9,13-14H,3,12H2,(H,15,16)/t9-/m0/s1	N[C@@H](Cc1c[nH]c2ccc(O)cc12)C(=O)O	C11H12N2O3		220.084792244	LDCYZAJDBXYCGN	Amino acids and Peptides|Shikimates and Phenylpropanoids	Small peptides	Aminoacids	Homo sapiens	770315.0	['Eukaryota']	['Metazoa']	['Chordata']	['Mammalia']	['Primates']	['Hominidae']	['Unknown']	['Homo']	['Homo sapiens']		['Eukaryota']	['Metazoa']								2	3	5.731523752212524	1
184	3596	-1							1.0	0.43483523	ISDB	JTSVQVYMBXVLFI-UHFFFAOYSA-N	InChI=1S/C19H34O3/c1-3-4-11-14-17-18(22-17)15-12-9-7-5-6-8-10-13-16-19(20)21-2/h9,12,17-18H,3-8,10-11,13-16H2,1-2H3	CCCCCC1OC1CC=CCCCCCCCC(=O)OC	C19H34O3		310.250794948	JTSVQVYMBXVLFI	Fatty acids	Fatty Acids and Conjugates	Epoxy fatty acids	Xeranthemum annuum	265951.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Cardueae']	['Xeranthemum']	['Xeranthemum annuum']		['Eukaryota']									1	0	1.4348352253437042	1
185	3589	142	Amino acids and Peptides|Shikimates and Phenylpropanoids	0.5	Small peptides	0.5	Aminoacids	0.5	1.0	0.3507187	ISDB	KKODYMFOTNMKRR-ZETCQYMHSA-N	InChI=1S/C11H11N3O4/c12-7(11(15)16)4-6-5-13-8-2-1-3-9(10(6)8)14(17)18/h1-3,5,7,13H,4,12H2,(H,15,16)/t7-/m0/s1	N[C@@H](Cc1c[nH]c2cccc([N+](=O)[O-])c12)C(=O)O	C11H11N3O4		249.074955832	KKODYMFOTNMKRR	Amino acids and Peptides|Shikimates and Phenylpropanoids	Small peptides	Aminoacids	Streptomyces albus	393814.0	['Bacteria']	['Unknown']	['Actinobacteria']	['Unknown']	['Streptomycetales']	['Streptomycetaceae']	['Unknown']	['Streptomyces']	['Streptomyces albus']											0	3	3.350718706846237	1
188	3540	65	Terpenoids	0.3333333333333333	Steroids	0.3333333333333333	Ergostane steroids	0.3333333333333333	1.0	0.58978975	ISDB							APXGHUJETIJCLQ						['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	0.5897897481918335	1
